Sexo	Provincias	Edad	Periodo	Total
Total	Total Nacional	100 y más años	2035	48.320,041367
Total	Total Nacional	100 y más años	2034	45.820,079867
Total	Total Nacional	100 y más años	2033	42.659,468079
Total	Total Nacional	100 y más años	2032	39.208,064610
Total	Total Nacional	100 y más años	2031	36.363,409051
Total	Total Nacional	100 y más años	2030	32.984,389770
Total	Total Nacional	100 y más años	2029	30.264,222795
Total	Total Nacional	100 y más años	2028	27.319,441149
Total	Total Nacional	100 y más años	2027	25.159,238723
Total	Total Nacional	100 y más años	2026	22.773,948808
Total	Total Nacional	100 y más años	2025	20.565,081994
Total	Total Nacional	100 y más años	2024	18.311,561375
Total	Total Nacional	100 y más años	2023	16.038,687529
Total	Total Nacional	100 y más años	2022	14.286,648267
Total	01 Araba/Álava	Todas las edades	2037	346.128,794982
Total	01 Araba/Álava	Todas las edades	2036	345.962,279358
Total	01 Araba/Álava	Todas las edades	2035	345.706,160441
Total	01 Araba/Álava	Todas las edades	2034	345.318,288283
Total	01 Araba/Álava	Todas las edades	2033	344.778,566232
Total	01 Araba/Álava	Todas las edades	2032	344.087,730145
Total	01 Araba/Álava	Todas las edades	2031	343.240,965168
Total	01 Araba/Álava	Todas las edades	2030	342.240,554374
Total	01 Araba/Álava	Todas las edades	2029	341.075,893468
Total	01 Araba/Álava	Todas las edades	2028	339.762,737515
Total	01 Araba/Álava	Todas las edades	2027	338.316,651086
Total	01 Araba/Álava	Todas las edades	2026	336.746,410427
Total	01 Araba/Álava	Todas las edades	2025	335.075,062784
Total	01 Araba/Álava	Todas las edades	2024	333.329,630664
Total	01 Araba/Álava	Todas las edades	2023	331.528,390122
Total	01 Araba/Álava	Todas las edades	2022	329.855,624868
Total	01 Araba/Álava	65 años	2037	5.069,402760
Total	01 Araba/Álava	65 años	2036	4.823,828365
Total	01 Araba/Álava	65 años	2035	4.884,471433
Total	01 Araba/Álava	65 años	2034	4.803,465572
Total	01 Araba/Álava	65 años	2033	4.830,885476
Total	01 Araba/Álava	65 años	2032	4.803,318283
Total	01 Araba/Álava	65 años	2031	4.786,813830
Total	01 Araba/Álava	65 años	2030	4.842,788593
Total	01 Araba/Álava	65 años	2029	4.647,113560
Total	01 Araba/Álava	65 años	2028	4.592,885943
Total	01 Araba/Álava	65 años	2027	4.491,011403
Total	01 Araba/Álava	65 años	2026	4.469,121294
Total	01 Araba/Álava	65 años	2025	4.407,772444
Total	01 Araba/Álava	65 años	2024	4.280,855253
Total	01 Araba/Álava	65 años	2023	4.233,213897
Total	01 Araba/Álava	65 años	2022	4.148,381802
Total	01 Araba/Álava	66 años	2037	4.785,336490
Total	01 Araba/Álava	66 años	2036	4.845,298385
Total	01 Araba/Álava	66 años	2035	4.764,571031
Total	01 Araba/Álava	66 años	2034	4.791,814210
Total	01 Araba/Álava	66 años	2033	4.764,888796
Total	01 Araba/Álava	66 años	2032	4.749,016011
Total	01 Araba/Álava	66 años	2031	4.804,289736
Total	01 Araba/Álava	66 años	2030	4.610,299809
Total	01 Araba/Álava	66 años	2029	4.557,373958
Total	01 Araba/Álava	66 años	2028	4.456,389929
Total	01 Araba/Álava	66 años	2027	4.436,590556
Total	01 Araba/Álava	66 años	2026	4.374,199349
Total	01 Araba/Álava	66 años	2025	4.248,271025
Total	01 Araba/Álava	66 años	2024	4.200,784211
Total	01 Araba/Álava	66 años	2023	4.113,555707
Total	01 Araba/Álava	66 años	2022	3.961,250638
Total	01 Araba/Álava	67 años	2037	4.805,264660
Total	01 Araba/Álava	67 años	2036	4.724,797946
Total	01 Araba/Álava	67 años	2035	4.751,871124
Total	01 Araba/Álava	67 años	2034	4.725,541739
Total	01 Araba/Álava	67 años	2033	4.710,245515
Total	01 Araba/Álava	67 años	2032	4.764,741087
Total	01 Araba/Álava	67 años	2031	4.572,498514
Total	01 Araba/Álava	67 años	2030	4.520,728616
Total	01 Araba/Álava	67 años	2029	4.420,565395
Total	01 Araba/Álava	67 años	2028	4.402,664754
Total	01 Araba/Álava	67 años	2027	4.339,341827
Total	01 Araba/Álava	67 años	2026	4.214,439361
Total	01 Araba/Álava	67 años	2025	4.167,134092
Total	01 Araba/Álava	67 años	2024	4.080,316956
Total	01 Araba/Álava	67 años	2023	3.926,337810
Total	01 Araba/Álava	67 años	2022	3.807,827338
Total	01 Araba/Álava	68 años	2037	4.684,393461
Total	01 Araba/Álava	68 años	2036	4.711,322131
Total	01 Araba/Álava	68 años	2035	4.685,513644
Total	01 Araba/Álava	68 años	2034	4.670,739772
Total	01 Araba/Álava	68 años	2033	4.724,390507
Total	01 Araba/Álava	68 años	2032	4.533,899486
Total	01 Araba/Álava	68 años	2031	4.483,159439
Total	01 Araba/Álava	68 años	2030	4.383,764079
Total	01 Araba/Álava	68 años	2029	4.367,571624
Total	01 Araba/Álava	68 años	2028	4.303,460140
Total	01 Araba/Álava	68 años	2027	4.179,603045
Total	01 Araba/Álava	68 años	2026	4.132,520802
Total	01 Araba/Álava	68 años	2025	4.045,981585
Total	01 Araba/Álava	68 años	2024	3.892,996349
Total	01 Araba/Álava	68 años	2023	3.770,773519
Total	01 Araba/Álava	68 años	2022	3.740,637322
Total	01 Araba/Álava	69 años	2037	4.669,668266
Total	01 Araba/Álava	69 años	2036	4.644,307091
Total	01 Araba/Álava	69 años	2035	4.630,011065
Total	01 Araba/Álava	69 años	2034	4.682,728468
Total	01 Araba/Álava	69 años	2033	4.493,977354
Total	01 Araba/Álava	69 años	2032	4.444,165768
Total	01 Araba/Álava	69 años	2031	4.345,492819
Total	01 Araba/Álava	69 años	2030	4.330,814105
Total	01 Araba/Álava	69 años	2029	4.266,050302
Total	01 Araba/Álava	69 años	2028	4.143,258719
Total	01 Araba/Álava	69 años	2027	4.096,443216
Total	01 Araba/Álava	69 años	2026	4.010,038757
Total	01 Araba/Álava	69 años	2025	3.858,185467
Total	01 Araba/Álava	69 años	2024	3.735,498259
Total	01 Araba/Álava	69 años	2023	3.705,689322
Total	01 Araba/Álava	69 años	2022	3.741,675727
Total	01 Araba/Álava	70 años	2037	4.601,066038
Total	01 Araba/Álava	70 años	2036	4.587,225579
Total	01 Araba/Álava	70 años	2035	4.638,922051
Total	01 Araba/Álava	70 años	2034	4.451,899758
Total	01 Araba/Álava	70 años	2033	4.402,932471
Total	01 Araba/Álava	70 años	2032	4.304,959490
Total	01 Araba/Álava	70 años	2031	4.291,602990
Total	01 Araba/Álava	70 años	2030	4.226,292523
Total	01 Araba/Álava	70 años	2029	4.104,586723
Total	01 Araba/Álava	70 años	2028	4.058,072563
Total	01 Araba/Álava	70 años	2027	3.971,682104
Total	01 Araba/Álava	70 años	2026	3.821,082907
Total	01 Araba/Álava	70 años	2025	3.698,159030
Total	01 Araba/Álava	70 años	2024	3.671,325457
Total	01 Araba/Álava	70 años	2023	3.702,027639
Total	01 Araba/Álava	70 años	2022	3.476,105139
Total	01 Araba/Álava	71 años	2037	4.541,807384
Total	01 Araba/Álava	71 años	2036	4.592,393778
Total	01 Araba/Álava	71 años	2035	4.407,134398
Total	01 Araba/Álava	71 años	2034	4.358,940157
Total	01 Araba/Álava	71 años	2033	4.261,625483
Total	01 Araba/Álava	71 años	2032	4.249,443702
Total	01 Araba/Álava	71 años	2031	4.183,628727
Total	01 Araba/Álava	71 años	2030	4.063,040129
Total	01 Araba/Álava	71 años	2029	4.016,827860
Total	01 Araba/Álava	71 años	2028	3.930,349980
Total	01 Araba/Álava	71 años	2027	3.781,133741
Total	01 Araba/Álava	71 años	2026	3.658,102803
Total	01 Araba/Álava	71 años	2025	3.633,891360
Total	01 Araba/Álava	71 años	2024	3.662,395409
Total	01 Araba/Álava	71 años	2023	3.437,555713
Total	01 Araba/Álava	71 años	2022	3.413,885523
Total	01 Araba/Álava	72 años	2037	4.542,716654
Total	01 Araba/Álava	72 años	2036	4.359,335852
Total	01 Araba/Álava	72 años	2035	4.311,880615
Total	01 Araba/Álava	72 años	2034	4.215,216063
Total	01 Araba/Álava	72 años	2033	4.204,102536
Total	01 Araba/Álava	72 años	2032	4.137,839030
Total	01 Araba/Álava	72 años	2031	4.018,428127
Total	01 Araba/Álava	72 años	2030	3.972,503365
Total	01 Araba/Álava	72 años	2029	3.885,926576
Total	01 Araba/Álava	72 años	2028	3.738,228869
Total	01 Araba/Álava	72 años	2027	3.615,193597
Total	01 Araba/Álava	72 años	2026	3.593,342515
Total	01 Araba/Álava	72 años	2025	3.619,735753
Total	01 Araba/Álava	72 años	2024	3.398,575331
Total	01 Araba/Álava	72 años	2023	3.370,757254
Total	01 Araba/Álava	72 años	2022	3.618,408672
Total	01 Araba/Álava	73 años	2037	4.308,041268
Total	01 Araba/Álava	73 años	2036	4.261,347243
Total	01 Araba/Álava	73 años	2035	4.165,346552
Total	01 Araba/Álava	73 años	2034	4.155,240594
Total	01 Araba/Álava	73 años	2033	4.088,555806
Total	01 Araba/Álava	73 años	2032	3.970,407634
Total	01 Araba/Álava	73 años	2031	3.924,753944
Total	01 Araba/Álava	73 años	2030	3.838,124673
Total	01 Araba/Álava	73 años	2029	3.692,071866
Total	01 Araba/Álava	73 años	2028	3.569,094242
Total	01 Araba/Álava	73 años	2027	3.549,438381
Total	01 Araba/Álava	73 años	2026	3.573,755271
Total	01 Araba/Álava	73 años	2025	3.356,450353
Total	01 Araba/Álava	73 años	2024	3.327,389828
Total	01 Araba/Álava	73 años	2023	3.567,783557
Total	01 Araba/Álava	73 años	2022	3.607,109113
Total	01 Araba/Álava	74 años	2037	4.206,459076
Total	01 Araba/Álava	74 años	2036	4.111,149023
Total	01 Araba/Álava	74 años	2035	4.102,019302
Total	01 Araba/Álava	74 años	2034	4.034,882818
Total	01 Araba/Álava	74 años	2033	3.918,092666
Total	01 Araba/Álava	74 años	2032	3.872,655281
Total	01 Araba/Álava	74 años	2031	3.786,036530
Total	01 Araba/Álava	74 años	2030	3.641,736725
Total	01 Araba/Álava	74 años	2029	3.518,833088
Total	01 Araba/Álava	74 años	2028	3.501,236835
Total	01 Araba/Álava	74 años	2027	3.523,428070
Total	01 Araba/Álava	74 años	2026	3.310,200209
Total	01 Araba/Álava	74 años	2025	3.279,864348
Total	01 Araba/Álava	74 años	2024	3.516,847268
Total	01 Araba/Álava	74 años	2023	3.551,878632
Total	01 Araba/Álava	74 años	2022	3.271,213892
Total	01 Araba/Álava	75 años	2037	4.052,865055
Total	01 Araba/Álava	75 años	2036	4.044,767175
Total	01 Araba/Álava	75 años	2035	3.977,200722
Total	01 Araba/Álava	75 años	2034	3.861,883701
Total	01 Araba/Álava	75 años	2033	3.816,649281
Total	01 Araba/Álava	75 años	2032	3.730,122587
Total	01 Araba/Álava	75 años	2031	3.587,709595
Total	01 Araba/Álava	75 años	2030	3.464,928003
Total	01 Araba/Álava	75 años	2029	3.449,281022
Total	01 Araba/Álava	75 años	2028	3.469,348880
Total	01 Araba/Álava	75 años	2027	3.260,400981
Total	01 Araba/Álava	75 años	2026	3.228,789644
Total	01 Araba/Álava	75 años	2025	3.462,108988
Total	01 Araba/Álava	75 años	2024	3.496,251102
Total	01 Araba/Álava	75 años	2023	3.217,161748
Total	01 Araba/Álava	75 años	2022	3.216,431833
Total	01 Araba/Álava	76 años	2037	3.982,568749
Total	01 Araba/Álava	76 años	2036	3.914,656960
Total	01 Araba/Álava	76 años	2035	3.800,964216
Total	01 Araba/Álava	76 años	2034	3.755,930514
Total	01 Araba/Álava	76 años	2033	3.669,567706
Total	01 Araba/Álava	76 años	2032	3.529,188370
Total	01 Araba/Álava	76 años	2031	3.406,655804
Total	01 Araba/Álava	76 años	2030	3.392,796491
Total	01 Araba/Álava	76 años	2029	3.410,732612
Total	01 Araba/Álava	76 años	2028	3.206,282228
Total	01 Araba/Álava	76 años	2027	3.173,418015
Total	01 Araba/Álava	76 años	2026	3.402,686053
Total	01 Araba/Álava	76 años	2025	3.435,878004
Total	01 Araba/Álava	76 años	2024	3.162,201424
Total	01 Araba/Álava	76 años	2023	3.154,551523
Total	01 Araba/Álava	76 años	2022	3.221,799955
Total	01 Araba/Álava	77 años	2037	3.846,931320
Total	01 Araba/Álava	77 años	2036	3.735,085585
Total	01 Araba/Álava	77 años	2035	3.690,334575
Total	01 Araba/Álava	77 años	2034	3.604,222771
Total	01 Araba/Álava	77 años	2033	3.466,070263
Total	01 Araba/Álava	77 años	2032	3.344,009616
Total	01 Araba/Álava	77 años	2031	3.331,776713
Total	01 Araba/Álava	77 años	2030	3.347,630220
Total	01 Araba/Álava	77 años	2029	3.147,876050
Total	01 Araba/Álava	77 años	2028	3.113,894052
Total	01 Araba/Álava	77 años	2027	3.338,727807
Total	01 Araba/Álava	77 años	2026	3.370,946773
Total	01 Araba/Álava	77 años	2025	3.102,865265
Total	01 Araba/Álava	77 años	2024	3.093,044948
Total	01 Araba/Álava	77 años	2023	3.154,314602
Total	01 Araba/Álava	77 años	2022	3.064,133427
Total	01 Araba/Álava	78 años	2037	3.662,610892
Total	01 Araba/Álava	78 años	2036	3.618,269052
Total	01 Araba/Álava	78 años	2035	3.532,475597
Total	01 Araba/Álava	78 años	2034	3.396,804567
Total	01 Araba/Álava	78 años	2033	3.275,487027
Total	01 Araba/Álava	78 años	2032	3.264,629905
Total	01 Araba/Álava	78 años	2031	3.278,412095
Total	01 Araba/Álava	78 años	2030	3.083,631581
Total	01 Araba/Álava	78 años	2029	3.048,625631
Total	01 Araba/Álava	78 años	2028	3.268,447419
Total	01 Araba/Álava	78 años	2027	3.299,603841
Total	01 Araba/Álava	78 años	2026	3.037,334953
Total	01 Araba/Álava	78 años	2025	3.025,567899
Total	01 Araba/Álava	78 años	2024	3.086,292508
Total	01 Araba/Álava	78 años	2023	2.989,523740
Total	01 Araba/Álava	78 años	2022	2.844,329665
Total	01 Araba/Álava	79 años	2037	3.537,618366
Total	01 Araba/Álava	79 años	2036	3.452,204729
Total	01 Araba/Álava	79 años	2035	3.319,332910
Total	01 Araba/Álava	79 años	2034	3.199,051278
Total	01 Araba/Álava	79 años	2033	3.189,238509
Total	01 Araba/Álava	79 años	2032	3.200,878569
Total	01 Araba/Álava	79 años	2031	3.011,424676
Total	01 Araba/Álava	79 años	2030	2.975,432582
Total	01 Araba/Álava	79 años	2029	3.189,413201
Total	01 Araba/Álava	79 años	2028	3.219,323715
Total	01 Araba/Álava	79 años	2027	2.963,218063
Total	01 Araba/Álava	79 años	2026	2.949,648962
Total	01 Araba/Álava	79 años	2025	3.009,381090
Total	01 Araba/Álava	79 años	2024	2.912,600203
Total	01 Araba/Álava	79 años	2023	2.769,490073
Total	01 Araba/Álava	79 años	2022	2.332,618725
Total	01 Araba/Álava	80 años	2037	3.364,362226
Total	01 Araba/Álava	80 años	2036	3.234,739767
Total	01 Araba/Álava	80 años	2035	3.115,988935
Total	01 Araba/Álava	80 años	2034	3.107,054269
Total	01 Araba/Álava	80 años	2033	3.116,734466
Total	01 Araba/Álava	80 años	2032	2.932,968504
Total	01 Araba/Álava	80 años	2031	2.896,282965
Total	01 Araba/Álava	80 años	2030	3.103,959454
Total	01 Araba/Álava	80 años	2029	3.132,700872
Total	01 Araba/Álava	80 años	2028	2.883,207716
Total	01 Araba/Álava	80 años	2027	2.868,215768
Total	01 Araba/Álava	80 años	2026	2.926,780881
Total	01 Araba/Álava	80 años	2025	2.830,341482
Total	01 Araba/Álava	80 años	2024	2.692,157760
Total	01 Araba/Álava	80 años	2023	2.263,397598
Total	01 Araba/Álava	80 años	2022	2.139,369524
Total	01 Araba/Álava	81 años	2037	3.140,102951
Total	01 Araba/Álava	81 años	2036	3.023,283225
Total	01 Araba/Álava	81 años	2035	3.014,937602
Total	01 Araba/Álava	81 años	2034	3.022,601308
Total	01 Araba/Álava	81 años	2033	2.845,013501
Total	01 Araba/Álava	81 años	2032	2.807,706159
Total	01 Araba/Álava	81 años	2031	3.008,191978
Total	01 Araba/Álava	81 años	2030	3.035,557972
Total	01 Araba/Álava	81 años	2029	2.793,208883
Total	01 Araba/Álava	81 años	2028	2.776,996027
Total	01 Araba/Álava	81 años	2027	2.833,943318
Total	01 Araba/Álava	81 años	2026	2.738,049420
Total	01 Araba/Álava	81 años	2025	2.605,076869
Total	01 Araba/Álava	81 años	2024	2.189,613089
Total	01 Araba/Álava	81 años	2023	2.064,482086
Total	01 Araba/Álava	81 años	2022	2.299,270020
Total	01 Araba/Álava	82 años	2037	2.922,978830
